Question,A,B,C,D,Answer
"Ақпараттық   қауіпсіздіктің   негізін   құрайтын   үш   түйінді  элемент","Қолжетімділік ,  тұтастық   және   құпиялық","Желі   жылдамдығы ,  деректер   сапасы   және   пайдаланушы   ыңғайлылығы","Архивтеу   жиілігі ,  қорғаныс   тереңдігі   және  мониторинг  жиілігі","Кілт   ұзындығы , алгоритм  күрделілігі   және  пароль  қиындығы",A
"Симметриялық   шифрлеу   жүйесіндегі   кілттер  саны","Әр  операция  үшін   бір   кілт","Бір   кілт   барлық   операциялар   үшін","Кілттер  саны  деректер   көлеміне   байланысты","Кілттер  саны алгоритм  түріне   қарай   өзгереді",B
"Ашық   кілттік  криптография  жүйесінде   кілттердің   таратылу   тәртібі","Жеке  кілт   жарияланады , ал  қоғамдық   кілт   жасырылады","Екі   кілт  те  қатаң   құпия   түрде   сақталады","Қоғамдық   кілт   бөліседі , ал  жеке   кілт   құпияда   қалады","Екі   кілт  те  кез   келген   пайдаланушыға   тегін   беріледі",C
"Хэш-функциялардың   негізгі   мақсаты","Деректерді   қысқарту   және   олардың   бірегейлігін   тексеру","Деректерді   шифрлау   және   қорғау   деңгейін   көтеру","Деректерді   жылдам   тасымалдау   және   сақтау","Деректер   көлемін   азайту   және   оларды   жинақтау",A
"Сандық   қолтаңбаның   негізгі   қасиеті","Деректерді   қорғау   және   оларды   жіберу   жылдамдығын   арттыру","Деректерді   сығу   және   оларды   сақтау   тиімділігін   арттыру","Деректердің   шығу   тегін   және   өзгермегендігін   дәлелдеу","Деректерді   тасымалдау   және   оларды   өңдеу   жеңілдігі",C
"SSL/TLS  протоколының   негізгі   қолданылу   аясы","Веб-қосылымдарды   қорғау   және   деректерді   шифрлау","Кілттерді   жасау   және   оларды   басқару","Биометриялық   аутентификацияны   іске   асыру","Блокчейн   желілерінде   мәліметтерді   растау",A
"Кілттерді   басқарудың   мағынасы","Кілттерді   өшіру   немесе   оларды   жою   процесі","Кілттерді   көшіру   және   оларды   бөлісу   әдістері","Кілттерді   құру ,  тарату ,  сақтау   және   жою   циклі","Кілттерді   жариялау   және   оларды   тарату   тәсілдері",C
"Криптоанализдің   мақсаты","Хэш-функцияларды   жаңарту   және   оларды   алмастыру","Деректерді   жинақтау   және   оларды   сақтау   әдістерін   зерттеу","Кілттерді   құру   алгоритмдерін   әзірлеу   және   тестілеу","Шифрланған   ақпаратты   ашу   және  оны  оқу   әдістерін  табу",D
"AES  алгоритмінің   ерекшелігі","Хэш-функция  ретінде   қолданылатын   заманауи   әдіс","Ағынды   шифрлау   үшін   пайдаланылатын   ескірген  технология","Асимметриялы   шифрлауға   арналған   қауіпті   тәсіл","Симметриялы   шифрлауда   қолданылатын   кең   тараған  алгоритм",D
"RSA  алгоритмінің   жұмыс   істеу   принципі","Симметриялы   шифрлауға   негізделген   заманауи   тәсіл","Асимметриялы   шифрлауға   негізделген   математикалық   әдіс","Хэш-функция  ретінде   жұмыс   істейтін   белгілі  технология","Ағынды   шифрлауға   арналған   ескірген   жүйе",B
"SHA-256  алгоритмінің   сипаттамасы","Асимметриялы   шифрлауда   қолданылатын   кілт   әдісі","256  биттік  хэш-функция","Кілт   алмасу  протоколы  ретінде   қолданылатын   тәсіл","Блокчейнде   деректерді   сақтауға   арналған  алгоритм",B
"HMAC  технологиясының   қызметі","Биометриялық   деректерді   сақтау   және   тану","Кілттерді   генерациялау   және   басқару","Деректерді   шифрлау   және   желіде   қорғау","Хэш-функция мен  кілтті   біріктіру   арқылы   деректер   тұтастығын   растау",D
"Кванттық   есептеулердің   әсер   ету   саласы","SHA-256  сияқты   хэш-функцияларға   әсер   етеді","HMAC  сияқты  аутентификация  әдістеріне   әсер   етеді","RSA  сияқты   асимметриялы   алгоритмдерге   әсер   етеді","AES-256  сияқты   симметриялы   шифрларға   әсер   етеді",C
"Кездейсоқ   сандар   генераторының   маңыздылығы","Пайдаланушыларды   анықтау   және   желіге   кіру   рұқсатын  беру","Деректерді   жылдам   жіберу   және   өңдеу","Кілттердің   болжамсыздығын   қамтамасыз   ету","Блокчейнде   тізбек   құру   алгоритмін   қамтамасыз   ету",C
"Бүйірлік   арналық   шабуылдардың   ерекшелігі","Кілттер   ұзындығын   арттыру   арқылы   қорғаныс   жасау","Деректерді  интернет  арқылы   тасымалдау   кезінде   шабуыл   жасау","Хэш-функцияларды   жаңарту   арқылы   қорғаныс   әдісін   қолдану","Құрылғының  энергия  тұтынуын ,  уақытты ,  электромагниттік   сәулеленуді   талдау",D
"VPN  технологиясының   негізгі   қасиеті","Пайдаланушылардың   логиндері  мен  парольдерін   жинақтау","Файлдарды   автоматты   түрде   архивлап   сақтау","Кілттерді   басқа   құрылғыға   қауіпсіз   жіберу","Деректерді   шифрлайтын  туннель  құру",D
"HTTPS  протоколының   құрылымы","Деректерді   архивлау   және   сақтау   әдісі","Кілттерді   генерациялау   және   басқару  протоколы","HTTP  протоколына  TLS  қосу","Блокчейнге   деректерді   қосу  протоколы",C
"Блокчейн   технологиясында   блоктар   арасындағы   байланыс","Пайдаланушының  IP  мекенжайына   байланысты","Кілт   ұзындығына   байланысты   өзгереді","Алдыңғы   блоктың   хэшіне   байланысты","Желі   жылдамдығына   пропорционал   өзгереді",C
"PGP  құралының   негізгі   мақсаты","Файлдарды   архивлау   және   сығу","Веб-беттерді   жобалау   және   қорғау","Электронды   поштаны   қорғау","Кілттерді   генерациялау   және   тарату",C
"Биометриялық   деректерді   қорғаудың   тиімді   әдісі","Оларды   ашық   түрде   сақтау   ең   қауіпсіз   әдіс","Оларды  интернет  желісінде   жариялау   керек","Оларды   қарапайым   парольмен   қорғау   жеткілікті","Оларды   шифрлау   қажет",D
"DES  стандартының   кілт   ұзындығы","128 бит","256 бит","1024 бит","56 бит",D
"3DES  алгоритмінің   жұмыс   принципі","AES  алгоритмімен   толық   ауыстырылды","Хэш-функция  ретінде   қолданылады","Кілт   ұзындығын  1024 битке  дейін   ұлғайтады","DES  алгоритмін   үш   рет   қайталайды",D
"Blowfish   алгоритмінің   түрі","Ағынды   шифрлау   әдісі   ретінде   қолданылады","Асимметриялы   шифрлауға   арналған","Блокты   шифрлау   алгоритмі","Хэш-функция  ретінде   пайдаланылады",C
"ChaCha20  алгоритмінің   негізгі   артықшылығы","Үлкен   деректерді   архивлау   және   сақтау","Мобильді   құрылғыларда   жылдам   шифрлау","Кілттерді   генерациялау   және   басқару","Блокчейнде   тізбек   құру",B
"ECC  алгоритмінің   басты   үлесі","Ұзын   кілт   қажет ,  бірақ   баяу   жұмыс   істейтін   әдіс","Қысқа   кілт   ұзындығымен   жоғары   қауіпсіздік","Симметриялы   шифрлау   түріне   жатады","Хэш-функция  ретінде   қолданылады",B
"MD5  функциясының   қазіргі   жағдайы","Ең   қауіпсіз   хэш-функциялардың   бірі","Қазір   қауіпті   деп   танылды","Криптографияда   жаңа  стандарт  ретінде   қабылданды","Криптографиялық   емес   қолданбалар   үшін   арналған",B
"RC4  алгоритмінің   сипаттамасы","Блокты   шифрлау   алгоритмі   ретінде   қолданылады","Асимметриялы   шифрлау   әдісі   болып   табылады","Ағынды   шифрлау   алгоритмі","Хэш-функция  ретінде   пайдаланылады",C
"ElGamal   алгоритмінің   қолданылуы","Хэш-функция  ретінде   арнайы   қолданылады","Шифрлау   және   сандық   қолтаңба   үшін   қолданылады","Кілт   алмасу  протоколы  ретінде   пайдаланылады","Деректерді   архивлау   және   сақтау   үшін   қолданылады",B
"DSA  алгоритмінің   мақсаты","Деректерді   шифрлауға   арналған  алгоритм","Сандық   қолтаңбаға   арналған","Хэш-функция  ретінде   қолданылатын   әдіс","Кілттерді   генерациялауға   арналған   құрал",B
"PKCS#1  стандартының   мақсаты","AES  алгоритмі   үшін   арналған  стандарт","RSA  алгоритмі   үшін   әзірленген","SHA-256  хэш-функциясы   үшін   жасалған","ECC  алгоритміне   арналған  протокол",B
"PKI  инфрақұрылымының   негізгі   қызметі","Пайдаланушы   парольдерін   сақтау   жүйесі","Хэш   функцияларын   басқару   және   сақтау","Ашық   кілттер   инфрақұрылымын   қамтамасыз   ету","Ағынды   шифрлау   әдістерін   ұйымдастыру",C
"Сандық   сертификаттарды   шығарушы   негізгі  орган","Пайдаланушының   жеке   компьютері","Блокчейн   желісінің   децентрализацияланған   жүйесі","Сертификаттар  органы (CA)","Әрбір   пайдаланушының   өзі",C
"Diffie-Hellman   протоколының   негізгі   мақсаты","Деректерді   шифрлау   және   дешифрлау","Кілттерді   қауіпсіз   алмасу","Хэш   функциясын   есептеу","Сандық   қолтаңба   қою",B
"AES-256  алгоритмінің   сипаттамасы","256  биттік   кілті  бар  симметриялы   шифрлау","256  биттік   хэш   функциясы","256  биттік   асимметриялы   кілт   алгоритмі","256  биттік   биометриялық  формат",A
"CBC  режиміндегі   шифрлау   ерекшелігі","Кілт   ұзындығына   тәуелді ,  бірақ   блокқа   емес","Бірдей   деректер   әрқашан   бірдей   шифрланады","Әр  блок  алдыңғы   шифрланған   блокқа   тәуелді","Шифрлау   кілтсіз   автоматты   түрде   жүреді",C
"ECB  режимінің   басты   кемшілігі","Ұзын   кілттерді   қолдану   қажет","Бірдей   деректер   бірдей   шифрланады","Шифрлау   процесі   өте   баяу","Кілттерді   жою   немесе   ауыстыру   қиын",B
"GCM  режимінің   ерекшелігі","Кілттерді   генерациялау  мен  басқару   функциясы","Хэш   функциясын   жаңарту   және   қауіпсіздікті   арттыру","Деректерді   архивлау   және   сығу   әдісі","Шифрлау  мен  аутентификацияны   біріктіру",D
"OFB  режимінің   жұмыс   түрі","Блокты   шифрлау   алгоритмдеріне   жатады","Ағынды   шифрлау   түріне   жатады","Асимметриялы   шифрлау   әдісі   болып   табылады","Хэш   функцияларының   бір   түрі",B
"CTR  режиміндегі   шифрлау   механизмі","Блоктарды   тізбектей   шифрлау   арқылы   жүзеге   асады","Кілт   ұзындығын   арттыру   арқыly   қорғаныс   жасалады","Хэш   функциясын   қолдану   арқылы   қосымша   қорғаныс   қамтамасыз   етіледі","Кілттің   әр   түрлі   мәндерін   қолдану   арқылы   жүзеге   асады",D
"Файлдарды   шифрлау   үшін   ұсынылатын  режим","ECB  режимі   деректерді   қауіпсіз   шифрлейді","CBC  режимі   ең   кең   тараған   шифрлау   әдісі","GCM  режимі   ұсынылады","OFB  режимі   файлдар   үшін   ең   қолайлы",C
"SSH  протоколының   негізгі   қолданылуы","Веб-беттерді   әзірлеу   және   тестілеу","Қашықтан   басқару   үшін   қауіпсіз   байланыс","Деректерді   архивлау   және   сақтау","Биометриялық   деректерді   тану",B
"IPSec   протоколының   жұмыс   деңгейі","Қолданба   деңгейінде   деректерді   өңдейді","Желі   деңгейінде   жұмыс   істейді","Физикалық   деңгейде   сигналдарды   өңдейді","Деректер   базасындағы   сұраныстарды   басқарады",B
"TLS 1.3  стандартының   қабылдану   уақыты","2005  жылы   бірінші   рет   ұсынылды","2018  жылы   ресми   түрде   бекітілді","2020  жылы   заманауи  стандарт  ретінде   енгізілді","2010  жылы   ескірген   нұсқа   ретінде   жойылды",B
"S/MIME  технологиясының   негізгі   мақсаты","Веб-браузерде   деректерді   шифрлау","Электронды   поштаны   қорғау","Блокчейн   желілерінде   тізбек   құру","Кілттерді   генерациялау   және   тарату",B
"Деректер   архивін   қорғаудың   тиімді   әдісі","Файлды   көшіру   арқылы   қауіпсіздік   қамтамасыз   етіледі","Файлды   жою   арқылы   құпиялылық   сақталады","ZIP  архивін   шифрлау   қажет","Файлды   ашық   түрде   сақтау   ең   қауіпсіз   әдіс",C
"Android   құрылғыларында   деректерді   қорғау   әдісі","USB  арқылы   сыртқы   шифрлау   қолданылады","Блокчейнге   деректерді   жазу   арқылы   қорғаныс   жасалады","Кілттерді   интернетке   жіберу   арқылы   қауіпсіздік   қамтамасыз   етіледі","Толық   дискілік   шифрлау  (FDE)",D
"iOS   құрылғыларындағы   қорғаныс   механизмі","Пайдаланушы   паролі   ғана   қауіпсіздікті   қамтамасыз   етеді","Аппараттық   қауіпсіздік   модулі   қолданылады","Блокчейн   технологиясы   арқылы   деректер   қорғалады","Хэш   функциясы   арқылы   қауіпсіздік   жасалады",B
"Блокчейн   технологиясындағы   блоктар   арасындағы   байланыс","Алдыңғы   блоктың   хэшіне   байланысты","Пайдаланушының  IP  мекенжайына   байланысты","Кілт   ұзындығына   байланысты","Желі   жылдамдығына   пропорционал",A
"Консенсус  алгоритмдерінің   криптографиямен   байланысы","Жоқ ,  олар   криптографиясыз   жұмыс   істейді","Ия,  олар   криптографиялық   қолтаңбаларға   негізделген","Кейде   пайдаланылады ,  бірақ   міндетті   емес","Толықтай   тәуелді   емес ,  басқа   әдістер  де бар",B
"Кілтті   жоғалтқан   кездегі   жағдай","Ия,  автоматты   түрде   қалпына   келтіруге   болады","Жоқ ,  деректерді   қалпына   келтіру   мүмкін   емес","Ия,  құрылғы   арқылы   қалпына   келтіруге   болады","Ия, интернет  арқылы   қалпына   келтіруге   болады",B
"Кілт   ұзындығының   қауіпсіздікке   әсері","Кілт   ұзындығы   артқан   сайын   қауіпсіздік   артады","Кілт   ұзындығы   артқан   сайын   қауіпсіздік   азаяды","Кілт   ұзындығы   қауіпсіздікке   әсер   етпейді","Кілт   ұзындығы  тек  жылдамдыққа   әсер   етеді",A
"Кілттерді   ұзақ   мерзімді   сақтаудың   салдары","Қауіпсіздікті   арттырады","Қауіпсіздікті   төмендетеді","Ешқандай   әсері   жоқ","Жылдамдықты   арттырады",B
"Криптографиялық   аудиттің   негізгі   мақсаты","Деректерді   жою   немесе   жою   әрекеті","Криптографиялық   құралдардың   дұрыс   қолданылуын   тексеру","Кілттерді   интернетке   жіберу   арқылы   растау","Пайдаланушыларды   автоматты   түрде   танып   алу",B
"Криптографиялық   тестілеудің   басты   бағыттары","Кілттердің   кездейсоқтығы  мен  алгоритмдердің   дұрыстығы","Пайдаланушылар  саны мен  белсенділігі","Деректердің   көлемі  мен  құрылымы","Желінің   жылдамдығы  мен  сенімділігі",A
"Ашық   бастапқы   кодты   криптографиялық   құралдардың   артықшылығы","Қауіпсіздікті   қоғамдық   тексеру   мүмкіндігі","Деректерді   жою   немесе   жасыру   үшін   қолдану","Пайдаланушыларды   танып ,  рұқсат  беру","Жылдамдықты   арттыру   үшін   оңтайландыру",A
"Қазақстанда   ақпараттық   қауіпсіздікті   реттейтін   негізгі  норма","ISO/IEC 27001  халықаралық  стандарты","ҚР  ҚР  2.2.1 стандарты","NIST SP 800-53 АҚШ стандарты","GDPR  Еуропа   деректер   қорғау   заңы",B
"ISO/IEC 27001  стандартының   мақсаты","Ақпараттық   қауіпсіздік   басқару   жүйесі","Криптографиялық   алгоритмдердің   тізімі","Блокчейн   технологиялары   үшін  стандарт","Кілттерді   генерациялау  мен  басқару   әдісі",A
"NIST  ұйымының   сипаттамасы","Қазақстандық   ақпараттық   қауіпсіздік   ұйымы","АҚШ  ұлттық   стандарттар  институты","Блокчейн   технологияларын   әзірлеуші   ұйым","Криптографиялық   кілттерді   басқару   ұйымы",B
"Ашық   кодты   криптографиялық   құралдарды   пайдаланудың   негізгі   себебі","Қауіпсіздікті   тексеру   мүмкіндігі","Пайдаланушыларды   танып   алу   үшін   қолдану","Деректерді   жою   немесе   жасыру   үшін   арналу","Жылдамдықты   арттыру   үшін   оңтайландыру",A
"Криптографиялық   жүйе   қауіпсіздігін   анықтайтын   негізгі  фактор","Кілт   ұзындығы","Пайдаланушылар  саны","Желі   жылдамдығы","Файл  көлемі",A
"128  биттен  аз  кілттердің   қазіргі   кездегі   қауіпсіздік   мәртебесі","Қауіпсіз   деп   саналады","Қауіпті   деп   танылды","Жаңа  стандарт  ретінде   қабылданды","Қолданылмайды ,  бірақ   қауіпсіз",B
"Кілттерді   қауіпсіз   сақтаудың   тиімді   әдісі","Кілттерді   жай   файлда   сақтау   қауіпсіз","Аппараттық   қауіпсіздік   модулінде   сақтау","Кілттерді   интернетке   жіберу   арқылы   қорғау","Кілттерді   парольмен   қорғау   жеткілікті",B
"Криптографиялық   кілттерді   генерациялау   үшін   қажетті   шарт","Жоғары   сенімді   кездейсоқ   сандар  генераторы","Пайдаланушының   логині  мен  паролі","Файл  көлемі  мен  деректер   құрылымы","Желі   жылдамдығы  мен  кідіріс   уақыты",A
"Қазіргі   заманғы   деректерді   шифрлау   үшін   ұсынылатын   минималды   кілт   ұзындығы","64 бит  жеткілікті   деп   саналады","128 бит","256 бит  міндетті   түрде   қажет","512 бит  қажет",B
"Кілттерді   ауыстырудың   ұсынылатын   жиілігі","1  жылда   бір   рет   ауыстыру   жеткілікті","3 айда  бір   рет   ауыстыру   қажет","1 айда  бір   рет   ауыстыру   керек","6 айда  бір   рет   ауыстыру",D
"Кілттерді   ашық   түрде   сақтаудың   салдары","Деректердің   шифрлану   деңгейі   артады","Кілттің   жойылуы   автоматты   түрде   болады","Деректерге   ашық   қол   жеткізуге   мүмкіндік   береді","Кілттің   генерациясы   қайта   қосылады",C
"Криптографиялық   аудитті   жүргізудің   негізгі   себебі","Кілттерді   жою   немесе   жасыру","Криптографиялық   құралдардың   дұрыс   қолданылуын   тексеру","Пайдаланушыларды   автоматты   түрде   танып   алу","Деректерді   жою   немесе   архивтеу",B
"Бүйірлік   арналық   шабуылдардың   мысалы","Деректерді  интернет  арқылы   тасымалдау   кезінде   шабуыл","Құрылғының  энергия  тұтынуын   талдау","Кілттердің   ұзындығын   арттыру   арқылы   қорғаныс","Хэш   функциясын   жаңарту   арқылы   қорғаныс",B
"Криптографиялық   тестілеуді   жүргізу   уақыты","Жобаны   бастамас   бұрын   бір   рет   жүргізіледі","Жобаның   әрбір   кезеңінде","Жобаны   аяқтағаннан   кейін   ғана   жүргізіледі","Пайдаланушылар   келген   кезде   автоматты   түрде",B
"Кілттерді   қауіпсіз   таратудың   тиімді   әдісі","Электронды   пошта   арқылы   тарату   қауіпсіз","Ашық  интернет  арқылы   тікелей   жіберуге   болады","Физикалық   нұсқа   арқылы   тарату   қажет","Шифрланған   кілт   алмасу   протоколдары   арқылы",D
"Ашық   кодты   криптографиялық   құралдарды   таңдау   артықшылығы","Техникалық   қолдау   қиындықтары","Қауіпсіздікті   қоғамдық   тексеру   мүмкіндігі","Кілттерді   жасыру   немесе   жою   үшін   пайдалану","Пайдаланушылар   санын   көбейту   үшін   арналу",B
"Кілттерді   жоюдың   салдары","Деректердің   ашылуына   әкеледі","Деректерді   қалпына   келтіру   мүмкін   болады","Деректердің   шифрлану   деңгейі   артады","Деректердің   жойылуына   әкеледі",D
"Кілттерді   ұзақ   уақыт   бойы   ауыстырмай   қолданудың   әсері","Кілттердің   қауіпсіздігін   арттырады","Кілттердің   қауіпсіздігін   төмендетеді","Кілттердің   жылдамдығын   арттырады","Кілттердің   ұзындығын   арттырады",B
"Криптографиялық   жүйеде   кілттерді   қайта   жасау   қажеттілігі","Кілттердің   ұзындығы   артқанда   қажет","Кілттердің   мерзімі   аяқталғанда   қажет","Кілттердің   ұзындығы   азайғанда   қажет","Пайдаланушылар  саны  артқанда   қажет",B
"Криптографиялық  аудит  нәтижелерін   пайдалану","Жүйені   жаңарту   үшін","Пайдаланушыларды   жою   үшін","Деректерді   жою   үшін","Желіні   қосу   үшін",A
"Криптографиялық   құралдарды   тексеру   әдістері","Кілттерді   жою   немесе   жасыру","Сынақ   және  аудит","Пайдаланушыларды   танып   алу","Файлдарды   көшіру   немесе   архивтеу",B
"Кілттерді   қорғаудағы   тиімді  технология","USB диск  арқылы   сақтау   жеткілікті","Тұтынушы   құрылғысында   сақтау   қауіпсіз","Аппараттық   қауіпсіздік   модулі  (HSM)","Блокчейн   арқылы   сақтау   қажет",C
"Криптографиялық   кілттерді   жасаудағы   негізгі   талап","Жоғары   сенімді   кездейсоқ   сандар  генераторы","Пайдаланушының   логині  мен  паролі","Файл  көлемі  мен  деректер  форматы","Желі   жылдамдығы  мен  сенімділігі",A
"Қазіргі   уақытта   ұсынылатын   кілт   ұзындығы","64 бит  жеткілікті   деп   саналады","128 бит","256 бит  міндетті   түрде   қажет","512 бит  қолдану   керек",B
"Кілттерді   жойған   кездегі   деректердің   күйі","Деректердің   ашылуына   әкеледі","Деректердің   шифрлану   деңгейі   артады","Деректерді   қалпына   келтіру   мүмкін   болады","Деректердің   жойылуына   әкеледі",D
"Криптографиялық   құралдарды   дұрыс   пайдалануды   қамтамасыз   ететін  стандарт","ISO/IEC 27001","GDPR","PCI DSS","HIPAA",A
"Қазақстанда   ақпараттық   қауіпсіздікті   реттейтін   негізгі   құжат","ҚР  ҚР  2.2.1","NIST SP 800-53","ISO/IEC 27002","GDPR",A
"Кілттерді   қауіпсіз   тасымалдау   әдісі","Электронды   пошта   арқылы   тарату   ыңғайлы","Шифрланған   кілт   алмасу   протоколдары","Telegram   арқылы   жіберу   қауіпсіз","Жай   файлда   сақтау   жеткілікті",B
"Криптографиялық   жүйе   қауіпсіздігін   арттыру   шарасы","Кілттерді   жиі   ауыстыру","Кілттерді   ашық   түрде   сақтау","Кілттерді   жою","Кілттердің   ұзындығын   азайту",A
"Кілттерді   жойған   кездегі   нәтиже","Деректерді   қалпына   келтіру   мүмкін   болады","Деректердің   ашылуына   әкеледі","Деректердің   шифрлану   деңгейі   артады","Деректердің   жойылуына   әкеледі",D
"Криптографиялық   аудиттің   мақсаты","Кілттерді   жою   немесе   жасыру","Криптографиялық   құралдардың   дұрыс   қолданылуын   тексеру","Пайдаланушыларды   автоматты   түрде   танып   алу","Деректерді   жою   немесе   архивтеу",B
"Криптографиялық   тестілеудің   басты   нысаны","Кілттердің   кездейсоқтығы  мен  алгоритмдердің   дұрыстығы","Пайдаланушылар  саны мен  белсенділігі","Желі   жылдамдығы  мен  кідіріс   уақыты","Файл  көлемі  мен  құрылымы",A
"Ашық   кодты   криптографиялық   шешімдерді   таңдау   негізі","Қауіпсіздікті   қоғамдық   тексеру   мүмкіндігі","Кілттерді   жою   немесе   жасыру   үшін","Пайдаланушыларды   танып   алу   үшін","Деректерді   жою   немесе   архивтеу   үшін",A
"Криптографиялық   жүйе   сенімділігін   анықтайтын  фактор","Кілт   ұзындығы","Пайдаланушылар  саны","Желі   жылдамдығы","Файл  көлемі",A
"Кілттерді   ұзақ   уақыт   бойы   пайдалану   нәтижесі","Кілттердің   қауіпсіздігін   арттырады","Кілттердің   қауіпсіздігін   төмендетеді","Кілттердің   жылдамдығын   арттырады","Кілттердің   ұзындығын   арттырады",B
"Кілттерді   сенімді   сақтау   үшін   қолданылатын   шешім","Кілттерді   жай  файл  ретінде   сақтау","Аппараттық   қауіпсіздік   модулінде   сақтау","Кілттерді  интернет  арқылы   жіберу","Кілттерді   парольмен   қорғау",B
"Криптографиялық   кілттерді   генерациялаудағы   негізгі   талап","Жоғары   сапалы   кездейсоқ   сандар  генераторы","Пайдаланушы   аты  мен  паролі","Файл  өлшемі  мен  деректер  форматы","Желі   жылдамдығы  мен  байланыс   сенімділігі",A
"Қазіргі   уақытта   ұсынылатын   кілт   ұзындығы","64 бит  жеткілікті   деп   саналады","128 бит","256 бит  міндетті   түрде   қажет","512 бит  қолдану   керек",B
"Кілттерді жойған кездегі деректердің жағдайы","Деректер қолжетімді болады","Деректердің шифрлануы күшейеді","Деректерді қалпына келтіру мүмкін","Деректер жойылады",D
"Криптографиялық аудит нәтижелерін қолдану","Жүйені жаңарту үшін","Пайдаланушыларды жою үшін","Деректерді жою үшін","Желіні өшіру үшін",A
"Криптографиялық жүйені тексеру әдістері","Кілттерді жою","Сынақ және аудит","Пайдаланушыларды растау","Файлдарды тасымалдау",B
"Кілттерді қауіпсіз тарату тәсілі","Электронды пошта арқылы жіберу","Шифрланған кілт алмасу протоколдары","Мессенджер арқылы жіберу","Файл ретінде сақтау",B
"Криптографиялық жүйе қауіпсіздігін арттыру тәсілі","Кілттерді жиі ауыстыру","Кілттерді жариялау","Кілттерді өшіру","Кілт ұзындығын қысқарту",A
"Кілттерді ұзақ мерзімді сақтау әсері","Қауіпсіздікті арттырады","Қауіпсіздікті төмендетеді","Жылдамдықты арттырады","Кілт ұзындығын ұлғайтады",B
"Кілттерді қорғаудағы ең сенімді технология","USB дискте сақтау","Желілік құрылғыда сақтау","Аппараттық қауіпсіздік модулі","Блокчейн жүйесінде сақтау",C
